customer_id,archetype,tenure_months,benefit,cause,nudge_copy,copy_length
C20985,Dormant Premium,99,Renewal Vouchers @ Rs.20L,timing,Your journey with Platinum has reached a defining milestone after nine remarkable years. Step into your next chapter and claim your Renewal Vouchers today,154
C17458,Global Traveller,31,Hotel Elite Status (4 programmes),timing,Your next journey deserves a seamless check in. Activate your complimentary Hotel Elite Status before your next departure,121
C36328,Digital Affluent,15,Renewal Vouchers @ Rs.20L,timing,"Your next Platinum milestone awaits, unlocking curated Renewal Vouchers designed for your journey. Claim yours today and elevate your digital lifestyle",151
C24840,Domestic Executive,28,Hotel Elite Status (4 programmes),awareness,Your Platinum membership unlocks elite privileges across four premier hotel programmes. Explore your curated tier upgrades to elevate your upcoming stays,153
C31773,Business Owner,38,Renewal Vouchers @ Rs.20L,timing,Your Platinum milestone is reached. Claim your Renewal Vouchers today,69
C33388,Business Owner,96,Hotel Elite Status (4 programmes),timing,"Your Platinum Hotel Elite Status awaits your next business trip, making every arrival seamless",94
C07540,Dormant Premium,43,Renewal Vouchers @ Rs.20L,timing,"Your Platinum milestone has quietly unlocked, making your next journey the ideal time to claim your Renewal Vouchers",116
C28065,Domestic Executive,59,Renewal Vouchers @ Rs.20L,timing,"Your milestone has unlocked your Renewal Vouchers, ready to elevate your next escape whenever your schedule allows",114
C08780,Dormant Premium,36,Unlimited Lounge Access,awareness,Your Platinum tenure unlocks a world of effortless travel with Unlimited Lounge Access waiting for you,102
C24176,Domestic Executive,38,Hotel Elite Status (4 programmes),awareness,Unlock VIP room upgrades and late check-outs instantly across four premier hotel networks with your Platinum Hotel Elite Status,127
C10170,Digital Affluent,24,Renewal Vouchers @ Rs.20L,timing,Two years of Platinum membership have unlocked your next milestone reward. Claim your Renewal Vouchers today and elevate your journey,133
C24850,Dormant Premium,79,Hotel Elite Status (4 programmes),awareness,Your Platinum legacy unlocks elite tiers across four premier hotel programmes waiting to elevate your next escape,113
C09074,Digital Affluent,94,Renewal Vouchers @ Rs.20L,awareness,Unlock your curated milestones as a Platinum member and claim your elite Renewal Vouchers today,95
C12243,Digital Affluent,51,Renewal Vouchers @ Rs.20L,timing,"Your next curated milestone awaits, designed for a digital pioneer with over four years of refined taste. Claim your Renewal Vouchers today and elevate your journey effortlessly",177
C07859,Global Traveller,53,Renewal Vouchers @ Rs.20L,awareness,"Your five years of global journeys have unlocked your Renewal Vouchers, ready to elevate your next escape",105
C03917,Domestic Executive,7,Renewal Vouchers @ Rs.20L,timing,Your journey to milestone rewards continues. Unlock your curated vouchers as you progress toward the twenty lakh milestone,122
C30381,Digital Affluent,12,Hotel Elite Status (4 programmes),timing,Your first year with the Platinum Card unlocks elite hotel privileges whenever your next getaway begins. Elevate your upcoming stays by activating your Hotel Elite Status today,176
C36001,Global Traveller,49,Renewal Vouchers @ Rs.20L,timing,"Your next milestone has unlocked new Renewal Vouchers, crafted for your upcoming journeys across the globe",106
C28994,Global Traveller,26,Taj Epicure 25% Discount,timing,Your Platinum Global Dining privilege at Taj Epicure is waiting for your next journey home,90
C26234,Digital Affluent,11,Renewal Vouchers @ Rs.20L,timing,"You are approaching your first milestone with Platinum, unlocking your exclusive Renewal Vouchers @ Rs.20L. Claim yours today and elevate your journey",150
C12912,Global Traveller,13,Taj Epicure 25% Discount,awareness,Explore your Taj Epicure privileges waiting in your Platinum account to elevate your next journey abroad,104
C15341,Domestic Executive,23,Taj Epicure 25% Discount,awareness,Unlock your Taj Epicure dining privileges curated for your Platinum journey,75
C21249,Digital Affluent,67,Renewal Vouchers @ Rs.20L,timing,Your next milestone has unlocked new Renewal Vouchers as part of your curated journey. Let our Concierge secure your rewards for another exceptional year,153
C14210,Domestic Executive,78,Renewal Vouchers @ Rs.20L,timing,"As your milestone arrives, your curated Renewal Vouchers await to elevate your journey. Let our Concierge secure your next seamless escape",138
C11220,Business Owner,21,Renewal Vouchers @ Rs.20L,timing,"Your journey of growth unlocks your next tier of Platinum privileges today, waiting for you to claim",100
C22921,Domestic Executive,40,Hotel Elite Status (4 programmes),awareness,"Your Platinum Card unlocks instant Hotel Elite Status across four premier programmes, ready to elevate your upcoming stays",122
C03844,Domestic Executive,42,Unlimited Lounge Access,timing,"Your schedule demands the best, so take a quiet moment before your next flight and unwind at the airport lounge using your Unlimited Lounge Access",146
C33191,Digital Affluent,120,Hotel Elite Status (4 programmes),awareness,Your decade with Platinum unlocks instant elite status across four premier hotel programmes today,97
C20694,Digital Affluent,111,Renewal Vouchers @ Rs.20L,timing,"Your next Platinum milestone awaits, and your Renewal Vouchers @ Rs.20L are ready to claim. Secure your reward today and continue shaping your journey",150
C09542,Business Owner,97,Taj Epicure 25% Discount,timing,"As a valued Platinum member of nearly eight years, your next business milestone deserves a celebration at Taj. Enjoy exclusive dining privileges with your Taj Epicure access tonight",181
C14186,Global Traveller,14,Taj Epicure 25% Discount,awareness,Your Platinum Card unlocks exclusive Taj Epicure privileges for your global palate. Discover your curated dining entitlements waiting in your app today,151
C19744,Digital Affluent,19,Renewal Vouchers @ Rs.20L,timing,"Your progressive milestones are unlocked, bringing your Renewal Vouchers closer than ever. Claim your rewards seamlessly and elevate your journey today",151
C34325,Digital Affluent,31,Renewal Vouchers @ Rs.20L,timing,Your next milestone reward is unlocked and waiting for you to claim your Renewal Vouchers,89
C04338,Global Traveller,100,Renewal Vouchers @ Rs.20L,timing,"Ten years of global journeys deserve a celebration on your terms, especially since your Renewal Vouchers are ready whenever you are",131
C10576,Global Traveller,9,Taj Epicure 25% Discount,timing,Your Global Traveller journey deserves an exceptional dining moment. Discover the Taj Epicure Privileges waiting for your next destination tonight,146
C19322,Domestic Executive,89,Renewal Vouchers @ Rs.20L,timing,"Your next milestone awaits, making this the perfect moment to unlock your accumulated Renewal Vouchers",102
C34160,Global Traveller,17,Taj Epicure 25% Discount,timing,"Your Taj Epicure privilege awaits its moment, perfect for your next journey home",80
C08149,Dormant Premium,32,Renewal Vouchers @ Rs.20L,timing,Your Platinum journey evolves with every milestone reached. Unlock your progression vouchers today and let your rewards match your sustained membership,151
C16182,Global Traveller,7,Taj Epicure 25% Discount,awareness,"Discover the privileges waiting in your Platinum Vault, including your Taj Epicure dining rewards, designed to elevate your journeys",132
C27640,Digital Affluent,16,Taj Epicure 25% Discount,awareness,Your Platinum membership unlocks exclusive dining privileges at Taj Epicure. Discover this curated culinary entitlement waiting in your app today,145
C36223,Business Owner,82,Taj Epicure 25% Discount,timing,"Your Taj Epicure privilege awaits your next celebratory dinner, perfectly timed for your upcoming schedule",106
C37298,Domestic Executive,22,Renewal Vouchers @ Rs.20L,timing,"Your continued journey with Platinum brings your next milestone voucher into reach, letting you curate your next refined experience",131
C02637,Business Owner,63,Renewal Vouchers @ Rs.20L,timing,"Your latest milestone is reached, Business Owner. Unlock your Renewal Vouchers today to celebrate over five years of leadership",127
C09917,Digital Affluent,77,Renewal Vouchers @ Rs.20L,awareness,"Your milestone is reached, unlock your Renewal Vouchers @ Rs.20L and curate your next chapter with Platinum",107
C31312,Digital Affluent,43,Renewal Vouchers @ Rs.20L,timing,Your digital lifestyle unlocks curated rewards as you cross milestones. Claim your Renewal Vouchers today,105
C03859,Dormant Premium,6,Renewal Vouchers @ Rs.20L,timing,"Your milestone has arrived, unlock your Renewal Vouchers today and let your journey continue with the Platinum Card",115
C16754,Digital Affluent,42,Renewal Vouchers @ Rs.20L,timing,"Your journey to four dozen months of Platinum unlocks your curated Renewal Vouchers, ready whenever your schedule allows",120
C27385,Global Traveller,29,Taj Epicure 25% Discount,awareness,Your Platinum Global Dining tier includes exclusive Taj Epicure privileges waiting to be explored,97
C31943,Domestic Executive,107,Renewal Vouchers @ Rs.20L,timing,Your Platinum journey reaches another notable milestone with your Renewal Vouchers. Let us arrange them for your next well-earned escape,136
C04101,Global Traveller,39,Renewal Vouchers @ Rs.20L,timing,"Your milestone has unlocked your Renewal Vouchers, ready for your next journey abroad",85
