customer_id,archetype,spend_tier,total_gap_inr,utilisation_pct,top_cause,diagnosis_text
C34102,Digital Affluent,Underused,71878,0,friction,"The member has accumulated a total benefit gap of INR 71,878, driven primarily by friction amounting to INR 47,900 and timing factors contributing INR 12,078. This underutilization stems from operational hurdles in accessing specific perks, most notably the Fine Hotels & Resorts Credit. To address this, Platinum 365 deploys targeted interventions including Tab 3B RESIZE 50% combined with L2.1 Value Ledger surfaces and timing alerts to streamline redemption. Consequently, the member unlocks recovering value across high-propensity benefits like Unlimited Lounge Access, aligning card usage with their Digital Affluent profile."
C11671,Business Owner,Milestone,36653,0,timing,"Member C11671 exhibits a total benefit gap of INR 36653, primarily driven by timing factors accounting for INR 27424 of unrealised value. This underutilisation stems from calendar misalignment rather than lack of engagement, as evidenced by an annual spend of INR 2085189 and achieved milestone status. Platinum 365 addresses this through targeted interventions like Tab 3B RESIZE 50% combined with L2.1 Value Ledger alerts to systematically capture missed credits. Execution of these recommended nudges will recover up to INR 14610 in Fine Hotels & Resorts value, bridging the gap and optimising total card returns."
C00607,Dormant Premium,Underused,70728,0,friction,"This dormant 25-month member has accumulated a total benefit gap of INR 70,728 on an annual spend of INR 539,480. The primary root cause is friction accounting for INR 47,900 of the uncaptured value, alongside timing-related gaps of INR 9,304. Platinum 365 addresses this through targeted resizing and the L2.1 Value Ledger to surface entitlements like the Fine Hotels & Resorts Credit. This intervention recovers expected value while re-engaging the account toward key milestone attainment."
C38429,Global Traveller,Core,52754,0,timing,"The portfolio review reveals a total benefit gap of INR 52,754, driven primarily by timing losses of INR 33,580 and awareness deficits of INR 10,700. This underutilization stems from structural friction where entitlements remain invisible and milestone cliffs impede progress. Platinum 365 addresses this through the Value Ledger and Progressive Milestone Ladder to make benefits transparent and achievable. Consequently, the member captures unutilized value while accelerating toward key experiential milestones."
C07698,Domestic Executive,Core,49752,0,timing,"Cardmember C07698 is currently experiencing a total benefit gap of INR 49752, driven primarily by INR 33704 in timing-related delays. This underutilization stems from missed strategic windows rather than a lack of product fit, as evidenced by a high propensity for Unlimited Lounge Access at 0.866. Platinum 365 addresses this through targeted interventions like Tab 3B RESIZE 50% and L2.1 Value Ledger alerts to surface the Fine Hotels & Resorts Credit and Hotel Elite Status. Consequently, the member will recover expected value and optimize their annual spend of INR 1476756 across core relationship milestones."
C34145,Digital Affluent,Underused,53826,0,timing,"Member C34145 has accumulated a total benefit gap of INR 53,826 against an annual spend of INR 765,391, with zero utilisation across current offerings. This under-utilisation is primarily driven by timing issues accounting for INR 38,301, alongside awareness and irrelevance gaps of INR 6,000 and INR 5,488 respectively. Platinum 365 addresses this through the L2.1 Value Ledger to surface credits and make entitlements visible, paired with the L2.2 Progressive Milestone Ladder to replace the annual cliff. These interventions recover missed value and align card usage with the member's digital affluent profile."
C35718,Digital Affluent,Milestone,66046,0,friction,"Cardmember C35718 is currently leaving INR 66,046 on the table, primarily driven by procedural friction accounting for INR 47,900 of the total gap. Platinum 365 addresses this through Tab 3B RESIZE 50% combined with the L2.1 Value Ledger to surface untapped benefits like the Fine Hotels & Resorts Credit. This intervention recovers lost value and ensures the digital affluent member fully captures their entitled rewards."
C17109,Domestic Executive,Milestone,68112,0,friction,"Member C17109 is currently leaving a total benefit gap of INR 68,112 unutilised, with the largest deficit driven by friction amounting to INR 47,900. This under-utilisation stems primarily from process hurdles in accessing the Fine Hotels & Resorts Credit, which accounts for INR 20,380 in expected recovery. To resolve this, Platinum 365 deploys Tab 3B RESIZE 50% combined with the L2.1 Value Ledger to surface the credit and streamline redemption. This intervention secures a net value recovery of INR 16,926, bridging the engagement divide for this milestone tier executive."
C07098,Digital Affluent,Underused,74328,0,irrelevance,"Cardmember C07098 is experiencing a total benefit gap of INR 74,328, primarily driven by irrelevance at INR 61,528, alongside timing gaps of INR 7,000 and friction gaps of INR 3,600 over 14 months of tenure. This underutilization stems from a mismatch with current offerings, as seen in the gap breakdown and an attainment status of false for milestones. The Platinum 365 framework addresses this through targeted interventions like the progressive milestone ladder for timing and culinary access to remove friction, recovering expected values of INR 429 and INR 290 respectively. Consequently, the member will unlock optimized value across top-propensity benefits like unlimited lounge access, bridging their unused spend tier of INR 669,464."
C38270,Dormant Premium,Underused,80800,0,friction,"This Dormant Premium member with 17 months of tenure demonstrates an annual spend of INR 300,425 and a total benefit gap of INR 80,800, driven primarily by friction amounting to INR 47,900 alongside awareness and irrelevance gaps. Platinum 365 addresses this through the L2.1 Value Ledger and Tab 3B RESIZE 50% to surface hidden credits and entitlements, targeting high-propensity benefits like Unlimited Lounge Access and Hotel Elite Status. Consequently, this intervention recovers projected value across key lifestyle privileges, unlocking untapped card utility and bridging the member's financial shortfall."
